ISBN,Book-Title,Book-Author,Genre
0375406328,Lying Awake,Mark Salzman,"Religious Fiction, Fiction"
0446310786,To Kill a Mockingbird,Harper Lee,"Crime, Thriller, Education and Reference, Contemporary Fiction, Literary Classic, Young Adult, Fiction, Coming Of Age, Horror, Romance, Historical Fiction"
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,"History and Politics, Biography"
0060168013,Pigs in Heaven,Barbara Kingsolver,"Short Stories, Contemporary Fiction, Literary Classic, Fiction, Art and Photography, Romance"
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,"Mystery, Fiction"
055321215X,Pride and Prejudice,Jane Austen,"Short Stories, Thriller, Science Fiction, Contemporary Fiction, Education and Reference, Drama, Children Books, Literary Classic, Fiction, Coming Of Age, History and Politics, Romance, Historical Fiction"
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,Health and Medicine
0061099686,Downtown,Anne Rivers Siddons,"Biography, Fiction, Romance, Historical Fiction"
0553582909,Icebound,Dean R. Koontz,"Thriller, Adventure, Fiction, Mystery, Historical Fiction"
0671888587,I'll Be Seeing You,Mary Higgins Clark,"Thriller, Fiction, Mystery, Romance, Historical Fiction"
0553582747,From the Corner of His Eye,Dean Koontz,"Fiction, Young Adult, Thriller"
0425182908,Isle of Dogs,Patricia Cornwell,"Mystery, Crime, Fiction"
042518630X,Purity in Death,J.D. Robb,"Mystery, Crime, Fiction"
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,"Short Stories, Fiction, Literary Classic, Philosophy"
0812523873,Proxies,Laura J. Mixon,"Fiction, Thriller"
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,"Fantasy, Fiction, Philosophy"
0440225701,The Street Lawyer,JOHN GRISHAM,"Crime, Thriller, Science Fiction, Drama, Literary Classic, Fiction, True Crime, Mystery, Historical Fiction"
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,"Supernatural, Science, Health and Medicine, Psychology"
0156047624,All the King's Men,Robert Penn Warren,"Drama, Literary Classic, Young Adult, Fiction, History and Politics, Thriller"
0245542957,Pacific Northwest,Hans Johannes Hoefer,Unknown
0380715899,A Soldier of the Great War,Mark Helprin,"Historical Fiction, Fiction, Romance, Thriller"
0553280333,Getting Well Again,O. Carol Simonton Md,"Science, Psychology"
0961769947,Northwest Wines and Wineries,Chuck Hill,"Cooking, Education and Reference, Travel and Exploration"
0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,"Fiction, Thriller"
0671623249,LONESOME DOVE,Larry McMurtry,"Western, Science Fiction, Adventure, Fiction, Romance, Historical Fiction"
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,"Children Books, Psychology, Young Adult, Fiction, Travel and Exploration, Thriller"
0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,"Children Books, Fiction, Young Adult"
2070423204,Lieux dits,Michel Tournier,Unknown
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"Nonfiction, Science Fiction, Science, Psychology, Fiction, Thriller"
0394743741,The yawning heights,Aleksandr Zinoviev,"Philosophy, Thriller"
042511774X,Breathing Lessons,Anne Tyler,"Contemporary Fiction, Children Books, Romance, Fiction"
0804106304,The Joy Luck Club,Amy Tan,"Science, Science Fiction, Drama, Children Books, Literary Classic, Psychology, Fiction"
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,"Graphic Novels, Biography, Short Stories, Science Fiction, Education and Reference, Drama, Health and Medicine, Historical Fiction, Children Books, Young Adult, Fiction, Mystery, Travel and Exploration, Romance, Contemporary Fiction, Adventure, Literary Classic, Art and Photography, History and Politics"
0312970242,The Angel Is Near,Deepak Chopra,"Fantasy, Contemporary Fiction, Adventure, Fiction, Thriller"
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,"Short Stories, Crime, Religious Fiction, Thriller, Science Fiction, Education and Reference, Drama, Literary Classic, Fiction, Philosophy, True Crime, History and Politics, Romance, Historical Fiction"
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,"Fantasy, Adventure, Children Books, Fiction, Young Adult"
0060938412,The Accidental Virgin,Valerie Frankel,"Thriller, Science, Psychology, Fiction, Romance, Historical Fiction"
0140067477,The Tao of Pooh,Benjamin Hoff,"Science Fiction, Children Books, Literary Classic, Fiction, History and Politics, Philosophy"
0345465083,Seabiscuit,LAURA HILLENBRAND,"History and Politics, Biography"
0451625889,The Prince,Niccolo Machiavelli,"Fantasy, Crime, Thriller, Science Fiction, Science, Education and Reference, Drama, Literary Classic, Young Adult, Business, Psychology, Fiction, Philosophy, Art and Photography, Graphic Novels, History and Politics, Historical Fiction"
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Education and Reference
0441783589,Starship Troopers,Robert A. Heinlein,"Science, Science Fiction, Education and Reference, Adventure, Fiction, History and Politics, Historical Fiction"
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,"Thriller, Science Fiction, Children Books, Literary Classic, Young Adult, Fiction, Art and Photography, Mystery, History and Politics, Historical Fiction"
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,"Children Books, Literary Classic, Fiction"
0375410538,Anil's Ghost,MICHAEL ONDAATJE,"Thriller, Science Fiction, Literary Classic, Fiction, Mystery, Historical Fiction"
0966986105,Prescription for Terror,Sandra Levy Ceren,"Mystery, Fiction, Thriller"
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,"Nonfiction, Fiction, Thriller"
0340767936,Turning Thirty,Mike Gayle,Fiction
0743403843,Decipher,Stel Pavlou,"Dystopian, Young Adult, Fiction, Horror, Supernatural, Thriller"
0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,"Biography, History and Politics, Romance, Thriller"
0060177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,"History and Politics, Biography"
0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,"Business, History and Politics"
0375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,"History and Politics, Biography"
0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,"Western, Fiction"
0316769487,The Catcher in the Rye,J.D. Salinger,"Science Fiction, Education and Reference, Literary Classic, Young Adult, Fiction, History and Politics, Coming Of Age, Historical Fiction"
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,"Cooking, Fantasy, Science Fiction, Science, Adventure, Children Books, Literary Classic, Young Adult, Fiction, Art and Photography, History and Politics, Historical Fiction"
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,"Nonfiction, Fantasy, Science Fiction, Science, Adventure, Children Books, Literary Classic, Fiction, Art and Photography, Travel and Exploration, Historical Fiction"
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,"Fantasy, Science Fiction, Adventure, Children Books, Literary Classic, Young Adult, Fiction, Art and Photography, Travel and Exploration, Historical Fiction"
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,"Nonfiction, Crime, Education and Reference, Drama, Literary Classic, Fiction, True Crime, Mystery, History and Politics, Travel and Exploration, Thriller"
0671867156,Pretend You Don't See Her,Mary Higgins Clark,"Crime, Fiction, True Crime, Mystery, Thriller"
0312252617,Fast Women,Jennifer Crusie,"Mystery, Fiction"
0312261594,Female Intelligence,Jane Heller,"Science Fiction, Contemporary Fiction, Fiction, Romance, Historical Fiction"
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,"Travel and Exploration, Nonfiction, Adventure, Drama, Fiction, History and Politics, Biography, Thriller"
0316973742,The Gospel of Judas: A Novel,Simon Mawer,"Religious Fiction, Fiction"
0385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,Unknown
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,"Business, Thriller"
0451166892,The Pillars of the Earth,Ken Follett,"Thriller, Science Fiction, Children Books, Literary Classic, Fiction, History and Politics, Historical Fiction"
0553347594,McDonald's: Behind the Arches,John F. Love,Biography
0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,Business
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,"Thriller, Science Fiction, Music, Fiction, History and Politics, Romance, Historical Fiction"
0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,"Supernatural, Education and Reference, Health and Medicine, Biography"
0786868716,The Five People You Meet in Heaven,Mitch Albom,"Thriller, Science Fiction, Adventure, Drama, Literary Classic, Young Adult, Fiction, History and Politics, Historical Fiction"
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,"Nonfiction, Literary Classic, Fiction"
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,"Science Fiction, Short Stories, Science, Fiction"
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,"Children Books, Fiction, Young Adult"
0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,Fiction
0312953453,Blood Oath,David Morrell,"Fiction, Thriller"
0446608653,The Alibi,Sandra Brown,"Thriller, Literary Classic, Fiction, True Crime, Romance, Historical Fiction"
0446612545,The Beach House,James Patterson,"Short Stories, Crime, Adventure, Fiction, Mystery, Thriller"
0446612618,A Kiss Remembered,Sandra Brown,"Science, Fiction, Romance, Historical Fiction"
0451208080,The Short Forever,Stuart Woods,"Mystery, Fiction, Historical Fiction"
0553584383,Dead Aim,IRIS JOHANSEN,"Science Fiction, Fiction, Thriller"
0671027360,Angels & Demons,Dan Brown,"Short Stories, Crime, Thriller, Science Fiction, Adventure, Children Books, Literary Classic, Drama, Fiction, Art and Photography, True Crime, Mystery, Historical Fiction"
0812575954,The Deal,Joe Hutsko,"Business, Fiction, Thriller"
0316735736,All He Ever Wanted: A Novel,Anita Shreve,"Fiction, Romance, Historical Fiction"
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,"True Crime, Crime, Biography, Thriller"
0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,Biography
0380619458,The Mosquito Coast,Paul Theroux,"Adventure, Literary Classic, Fiction"
0446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,Unknown
0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,Fiction
0671042858,The Girl Who Loved Tom Gordon,Stephen King,"Science Fiction, Adventure, Fiction, Horror, Thriller"
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,"Science, Biography"
0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,"Fantasy, Fiction"
0425184226,The Sum of All Fears,Tom Clancy,"Fiction, History and Politics, Young Adult, Thriller"
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,Unknown
9724119378,O Deus Das Pequenas Coisas,Roy,"Contemporary Fiction, Fiction"
0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,"Short Stories, Thriller, Fiction, Romance, Historical Fiction"
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,"Fantasy, Thriller, Science Fiction, Education and Reference, Literary Classic, Fiction, Romance, Historical Fiction"
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,"Religious Fiction, Fiction"
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,"Western, Mystery, Crime, Fiction"
0671004573,Before I Say Good-Bye,Mary Higgins Clark,"Thriller, Music, Fiction, Supernatural, Business, True Crime, Mystery, History and Politics, Romance, Historical Fiction"
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,"Romance, Fiction"
0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,"Supernatural, Science, Psychology"
038572179X,Atonement : A Novel,IAN MCEWAN,"Thriller, Contemporary Fiction, Literary Classic, Young Adult, Fiction, History and Politics, Romance, Historical Fiction"
0393020371,Next: The Future Just Happened,Michael Lewis,Thriller
1900850303,The Angelic Darkness,Richard Zimler,"Contemporary Fiction, Literary Classic, Fiction"
1903019699,The Soulbane Stratagem,Norman Jetmundsen,"Thriller, Contemporary Fiction, Adventure, Fiction, Mystery, Philosophy"
0345425294,Gangster,Lorenzo Carcaterra,"Mystery, Crime, Fiction"
0451410319,Hush,Anne Frasier,"True Crime, Crime, Fiction, Thriller"
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,"Crime, Fiction, Supernatural, True Crime, Mystery, Thriller"
8420639133,Temor y Temblor,Soren Kierkegaard,"Nonfiction, Short Stories, Religious Fiction, Science Fiction, Fiction, Philosophy"
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,"Nonfiction, Science, Literary Classic, Psychology, Fiction, Romance, Historical Fiction"
0380778556,Rebecca,Daphne Du Maurier,"Short Stories, Thriller, Drama, Children Books, Literary Classic, Fiction, Horror, Romance, Historical Fiction"
0451525221,Scarlet Letter,Nathaniel Hawthorne,"Short Stories, Religious Fiction, Thriller, Science Fiction, Education and Reference, Drama, Children Books, Literary Classic, Young Adult, Fiction, History and Politics, Romance, Historical Fiction"
0002740230,Keep It Simple: And Get More Out of Life,Nick Page,"Self Help, Science, Psychology, Fiction, Supernatural, Thriller"
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,Fiction
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,Unknown
0505524996,Contact,Susan Grant,"Science Fiction, Science, Fiction"
0140252800,The Brimstone Wedding,Barbara Vine,"Thriller, Science Fiction, Fiction, Mystery, Historical Fiction"
0451452755,The Catswold Portal,Shirley Rousseau Murphy,"Fantasy, Science Fiction, Science, Fiction, Art and Photography, Romance, Historical Fiction"
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,"Fantasy, Adventure, Romance, Fiction"
044651747X,Puerto Vallarta Squeeze,Robert James Waller,"Adventure, Art and Photography, Fiction"
0060801263,Tree Grows In Brooklyn,Betty Smith,"Coming Of Age, Fiction, Literary Classic, Young Adult"
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,Biography
0140250964,Snow Angels,Stewart O'Nan,"Crime, Science Fiction, Fiction, Young Adult, Historical Fiction"
0446527165,Wish You Well,David Baldacci,"Thriller, Science Fiction, Contemporary Fiction, Literary Classic, Fiction, Coming Of Age, Romance, Historical Fiction"
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Science Fiction, Science, Adventure, Children Books, Literary Classic, Young Adult, Drama, Fiction, Art and Photography, Travel and Exploration, Philosophy"
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,Unknown
039575514X,My Antonia,Willa Cather,"Western, Travel and Exploration, Science Fiction, Contemporary Fiction, Biography, Education and Reference, Children Books, Literary Classic, Young Adult, Fiction, History and Politics, Romance, Historical Fiction"
0451206673,Pen Pals,Olivia Goldsmith,"Business, Romance, Fiction"
0330332775,Bridget Jones's Diary,Helen Fielding,"Thriller, Romance, Literary Classic, Fiction, Art and Photography, Biography, Historical Fiction"
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,"Short Stories, Thriller, Science Fiction, Contemporary Fiction, Education and Reference, Drama, Children Books, Literary Classic, Fiction, Coming Of Age, History and Politics, Romance, Historical Fiction"
0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,"Short Stories, Crime, Children Books, Young Adult, Fiction, Mystery, Thriller"
0671047612,Skin And Bones,Franklin W. Dixon,"Short Stories, Mystery, Children Books, Fiction"
0671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,"Short Stories, Adventure, Children Books, Fiction, Mystery"
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,Unknown
0785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,"Romance, Philosophy"
0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,Unknown
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,"Fantasy, Science, Science Fiction, Fiction, History and Politics"
0553278223,The Martian Chronicles,RAY BRADBURY,"Short Stories, Science Fiction, Science, Education and Reference, Drama, Literary Classic, Young Adult, Fiction, Thriller"
3150000335,Kabale Und Liebe,Schiller,Drama
3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,"Science, Fantasy, Science Fiction, Short Stories, Fiction, Horror"
3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,Unknown
3257208626,Fahrenheit 451,Ray Bradbury,"Education and Reference, Science, Children Books, Historical Fiction, Dystopian, History and Politics, Science Fiction, Art and Photography, Drama, Literary Classic, Thriller, Fiction, Horror"
3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,"Education and Reference, Science, Short Stories, Drama, Thriller, Fiction, Science Fiction, Young Adult"
3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,"Science, Fantasy, Historical Fiction, History and Politics, Science Fiction, Drama, Literary Classic, Thriller, Fiction, Horror, Coming Of Age"
3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,"Science, Fantasy, Historical Fiction, Fiction, Science Fiction, Coming Of Age"
3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,"Science, Fantasy, Short Stories, Fiction, Science Fiction"
3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,Unknown
3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,"Science, Fantasy, Science Fiction, Short Stories, Fiction, Horror"
3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,Unknown
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,Fiction
342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,"Education and Reference, Romance, Historical Fiction, Literary Classic, Fiction"
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,"Fiction, Science"
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,Unknown
3426605686,Haifischfrauen.,Kiana Davenport,"Fiction, Science Fiction, Science"
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,"Thriller, Young Adult, Fiction, Contemporary Fiction"
3462021095,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,Fiction
3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,"History and Politics, Business, Thriller, Science Fiction"
3498020862,Die Korrekturen.,Jonathan Franzen,"Science, History and Politics, Thriller, Fiction, Contemporary Fiction, Psychology"
3499110695,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,"Education and Reference, Science, Short Stories, Literary Classic, Thriller, Fiction, Art and Photography, Young Adult, Psychology"
3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,"Romance, Cooking, Short Stories, Literary Classic, Fiction, Science Fiction"
3518111000,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,"Education and Reference, Romance, Science, Historical Fiction, History and Politics, Art and Photography, Short Stories, Drama, Literary Classic, Thriller, Fiction, Science Fiction, Contemporary Fiction, Psychology"
3548254268,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,Unknown
3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,"Biography, Drama, Literary Classic, Thriller, Fiction, Science Fiction, Young Adult"
3596292646,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,"Romance, Historical Fiction, Short Stories, Thriller, Fiction"
0060977493,The God of Small Things,Arundhati Roy,"Health and Medicine, Romance, Historical Fiction, History and Politics, Literary Classic, Thriller, Fiction, Science Fiction, Contemporary Fiction"
0312872682,The James Dean Affair: A Neil Gulliver & Stevie Marriner Novel,Robert S. Levinson,"Biography, Mystery, Fiction"
0316602906,The Big Bad Wolf: A Novel,James Patterson,"Science, History and Politics, Mystery, Short Stories, Thriller, Fiction, Psychology, Crime"
0316693006,Four Blind Mice,James Patterson,"True Crime, Adventure, Mystery, Short Stories, Thriller, Fiction, Art and Photography, Crime"
0345311396,Private Screening,Richard North Patterson,Mystery
0345378490,Congo,Michael Crichton,"Science, Historical Fiction, Adventure, Mystery, Science Fiction, Thriller, Fiction, Horror"
0345404793,Protect and Defend,Richard North Patterson,"Thriller, Fiction, Short Stories"
0345433173,The Tall Pine Polka,Lorna Landvik,Fiction
0375400117,Memoirs of a Geisha,Arthur Golden,"Children Books, Historical Fiction, History and Politics, Literary Classic, Thriller, Fiction"
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,"Literary Classic, Thriller, Fiction, Young Adult"
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,"Health and Medicine, Science, Mystery, Thriller, Fiction"
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,"Mystery, Fiction"
0380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,"Mystery, Fiction, Children Books"
038076654X,Petals on the River,Kathleen E. Woodiwiss,"Historical Fiction, Romance, History and Politics, Fiction"
0380807866,The Elusive Flame,Kathleen E. Woodiwiss,"Romance, Historical Fiction, Thriller, Fiction, Art and Photography"
0385316895,Legacy of Silence,Belva Plain,"Historical Fiction, History and Politics, Fiction"
0385497466,The Brethren,JOHN GRISHAM,"Education and Reference, Mystery, Literary Classic, Thriller, Fiction"
0385508042,The King of Torts,John Grisham,"Thriller, Business, Fiction, Mystery"
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,"Education and Reference, Science, Children Books, Historical Fiction, Mystery, Drama, Literary Classic, Fiction, Psychology, Science Fiction, Young Adult, Crime"
0385511612,Bleachers,John Grisham,"Romance, Fiction"
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,"Fiction, Young Adult, Coming Of Age"
0425164403,Only Love (Magical Love),Erich Segal,"Historical Fiction, Romance, Fiction, Contemporary Fiction"
0440234964,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,Unknown
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,"Adventure, Mystery, Short Stories, Thriller, Fiction, Crime"
0446610399,The Rescue,Nicholas Sparks,"Historical Fiction, Romance, Fiction, Contemporary Fiction"
0449006522,Manhattan Hunt Club,JOHN SAUL,"Biography, Thriller, Fiction, True Crime"
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,Fiction
0451162072,Pet Sematary,Stephen King,"History and Politics, Science Fiction, Art and Photography, Thriller, Fiction, Supernatural, Horror"
0451186648,Silent Snow,Steve Thayer,"True Crime, Biography, Mystery, Thriller, Fiction, Science Fiction"
0452282152,Girl with a Pearl Earring,Tracy Chevalier,"Children Books, Biography, Historical Fiction, Thriller, Fiction, Art and Photography"
051513290X,Summer of Storms,Judith Kelman,"Mystery, Fiction, True Crime"
0553580388,The Patient,Michael Palmer,"Health and Medicine, Science, Thriller, Fiction, Science Fiction"
