ISBN,Shard
1900850303,T
1903019699,T
0345425294,G
0451410319,H
0553583468,W
8420639133,T
8476409419,E
0380778556,R
0451525221,S
0002740230,K
0385336772,D
0440949424,L
0505524996,C
0140252800,T
0451452755,T
0812575482,T
044651747X,P
0060801263,T
0061030147,C
0140250964,S
0446527165,W
0671461494,T
0385337639,C
039575514X,M
0451206673,P
0330332775,B
0486284735,P
0671021745,E
0671047612,S
0671504282,L
0399138684,T
0785263292,I
0830714014,A
0345354931,N
0553278223,T
3150000335,K
3257203659,D
3257207522,D
3257208626,F
3257208634,D
3257208669,D
3257210450,L
3257212054,D
3257212429,D
3257214154,F
3257216416,D
3257233051,V
342311360X,D
3423116714,D
3423241489,I
3426605686,H
3453212150,D
3462021095,S
3492045642,Q
3498020862,D
3499110695,N
3499151502,H
3518111000,U
3548254268,E
3570300099,D
3596292646,D
0060977493,T
0312872682,T
0316602906,T
0316693006,F
0345311396,P
0345378490,C
0345404793,P
0345433173,T
0375400117,M
0375705856,P
0380717018,B
0380718332,A
0380754509,T
038076654X,P
0380807866,T
0385316895,L
0385497466,T
0385508042,T
0385509456,T
0385511612,B
0385730586,S
0425164403,O
0440234964,A
0446605484,R
0446610399,T
0449006522,M
0449911004,P
0451162072,P
0451186648,S
0452282152,G
051513290X,S
0553580388,T
0590598848,D
0590629719,C
0671023616,P
0671027387,D
0684848783,T
0743486226,A
0786863986,A
0803251718,C
0804117934,T
140003180X,T
155874262X,C
0060987103,W
0151008116,L
0375704965,A
0525947647,L
0804111359,S
1558744150,C
0435272683,G
0316782505,T
006102063X,M
0060013117,N
0060199563,T
006052779X,C
0060563079,P
0060809027,M
0061040967,T
0061050474,J
0061052515,M
0061052523,I
0064472264,O
0140620664,M
0312148267,T
0312156960,T
0312890044,M
034543191X,T
0373836023,P
0375751513,T
0375801677,T
0375814248,J
0375823352,T
037582345X,T
0375823468,T
0380730448,T
0380973839,M
0385327773,T
0394586239,P
0439510112,B
0440241413,C
0451409256,M
0451523415,L
0451526279,E
0451526341,A
0486415864,G
0553280589,E
0571197639,P
0670035262,T
0679423079,N
0679751343,A
0684833395,C
0743245024,T
0749748001,T
0749748028,T
0963094424,A
1401201172,L
1563892278,P
1563898586,T
156971620X,H
1592571301,A
0374270325,A
0375719180,T
0440235502,O
044023722X,A
1573225487,T
1853260673,F
0060977477,T
0345391691,T
0520011171,S
0553278746,T
0670856045,T
0872200760,S
0937858994,T
0671649949,O
0590431110,T
0064470113,T
0553571486,A
0972044205,T
0312963009,N
0345430476,A
0345435869,T
0380728729,B
038081840X,Y
0449912302,D
055329198X,W
0671018930,T
0812541642,W
0312988699,N
0486282112,F
8483007010,E
0670815373,U
0385313748,A
1575843366,W
0684193957,A
0345371984,L
0380730138,V
1573228737,A
9681500555,D
0380711109,D
0452283914,T
0425120279,T
067153484X,T
0380728273,L
8433914545,E
8484509141,M
0446606197,K
0771076002,R
0771088191,T
1559703237,T
3596214629,H
0062770500,S
0671847546,R
0060188731,B
0140374248,J
0142001740,T
0195086295,W
0312995423,D
0380704587,T
0380815923,B
0385416342,T
0385418493,H
038542471X,T
0425098109,T
0449005410,H
0449202631,D
0449207544,P
0515128554,H
0517577402,M
0590450875,I
0590481371,I
067103619X,L
0684177730,T
0684180200,N
0743411269,A
0743470389,T
076218857X,T
0767905938,A
0800706544,T
0801096677,V
0849953014,L
0891091963,I
0915811537,S
0927545373,U
1575024179,T
1880185008,S
0140345809,H
0156528207,T
0380012863,J
0451154916,T
0785815147,S
0875421288,T
1567184294,T
156718796X,A
1862047626,N
0020437501,R
0198320264,J
0373196989,S
0373245580,M
0451527747,A
0671867113,M
0812504208,T
0060173289,D
0060973897,L
006101351X,T
0140104682,H
0312143370,T
0316666343,T
039456894X,I
0440224675,H
0449002632,L
0449213773,L
0452279690,C
0553569058,T
0679427430,W
0679725393,T
0802114369,O
0803233019,B
0819154946,T
0897322339,T
0940322978,M
1573225126,P
1579651658,T
1878424319,T
8401351421,E
8423324311,G
8427007450,D
8429734996,H
8429736131,L
8440616252,E
8472224260,N
8472227421,E
8474103347,E
8475960936,L
8477830029,T
8478091246,L
8478097732,G
8478098267,E
8478800336,C
8478884963,U
8483002523,L
8486433193,A
0600586898,B
1853260622,W
1857938011,A
0060804157,H
8466601090,L
0140382658,Y
0152012966,I
0312283784,A
0345297709,C
0345313097,C
0345335465,D
0345416848,L
0385333404,D
044021145X,T
0449212084,M
0553582682,G
0590947257,F
074345829X,P
0786913878,P
0801491827,F
0816729913,W
0843136685,S
0866119531,B
0866119566,O
0870441663,T
1561561428,F
0553210092,T
0553258524,D
0688163726,T
1569471096,W
055358099X,C
0316168815,T
014023828X,T
0316314927,S
0345424719,A
0375414746,T
0375726403,E
0385503857,O
0425156842,S
0440226104,B
0452277337,L
0553802488,T
0671021001,S
0767903579,F
0805063897,N
0679777431,T
0553285343,R
0486285529,S
0671002481,T
0812523385,S
0895774666,W
0020199090,J
0385495145,T
0679733825,S
0842329129,L
0345451260,H
0740700235,L
0380973545,L
0393321576,K
0743424425,T
0786868015,T
0446610178,T
0684854953,S
0743229878,M
0380617625,T
0380732335,F
0385337132,T
0440235057,B
0445402040,T
0618119760,T
0871138646,O
0026329859,F
0060621257,L
0060915544,T
0060917016,H
0060925000,A
0060932759,D
0061000280,T
0192815318,C
0312195516,T
0380792664,T
0393048977,L
0399137807,T
039914739X,I
0451203046,L
0451410556,T
0451523318,T
0486281965,T
0486292940,E
051762639X,B
0684824442,R
0743458303,W
081296666X,T
0819215635,L
0880011025,U
1561011525,T
1877727083,V
0486206173,R
0312278586,T
8845229041,B
887641486X,I
0140370900,T
0674511255,T
0030096189,O
0312965745,S
0345374657,D
0395710901,P
080521061X,M
0823032612,O
0679310002,G
0312288115,C
0316171107,L
0380710218,P
0515118656,T
0553289063,A
0671000306,S
0671673688,W
1561672033,A
0425178242,K
0618173870,E
0156027321,L
0375403582,R
0385721420,T
0451202341,B
0743418190,I
0385335407,T
0965746828,H
0060923245,S
0486272664,T
0786015276,_OTHER
0060913509,I
0553272837,B
0440225078,G
0312145543,B
0425181111,S
0380732688,M
0140286276,T
0373484100,N
0449907481,A
0553107305,C
080213825X,F
0515127833,R
0345441133,S
0515134279,T
0945586051,T
0385490992,T
0385424728,T
0312980388,W
0590419625,T
0385472951,T
0451195663,P
0425182878,C
0553564528,G
055356451X,N
0743412621,T
0849943728,T
0849943450,T
084994371X,B
0590406019,L
0020442408,P
0553225987,R
042517736X,A
0671868713,A
038549825X,N
0553202294,S
0345313860,T
0345369947,T
067170124X,H
0345353625,H
0308102282,Y
006017143X,T
0805056491,O
0679401377,T
1562827049,T
0385306032,V
0816152446,T
0821772953,T
0345379454,M
0553576925,H
0743206053,K
0688169678,W
0439319552,H
0590870157,M
0307001164,_OTHER
0440441501,I
0590687301,R
0439061644,T
0439569842,H
0307118703,M
0590418858,Y
030720152X,C
0816728739,T
0865050880,I
0812519655,S
0812524853,B
0449211770,T
193072229X,M
0812521129,C
0345251733,R
1400077826,C
0312995431,A
0312312628,O
0446394521,D
0590021117,L
068484267X,A
0553578693,T
0380709260,S
0807565288,T
0312986769,I
0345413377,T
0345413369,T
0679893105,T
0061096091,E
0345369068,I
0451184718,T
0449209121,T
0060938455,F
080411952X,T
0060575808,T
0060558865,E
0767912918,P
0553298860,B
0385335679,K
0440122090,E
0671525832,S
0553279572,T
0061009059,O
0060930187,T
0516076272,A
0679450432,D
0821775863,T
0821770209,A
0670855758,T
0553562819,G
0446364193,A
0446519138,S
0425179672,T
0061042943,F
0399144463,W
0965404560,A
006015781X,W
0060930705,S
0312206763,S
0316116025,T
0156013967,M
0385314019,W
0743444167,N
0618231617,A
1567920047,A
0811203220,S
1573229148,C
0787955671,T
0425174484,E
0385496907,N
0446523992,A
0140185216,O
0684717255,I
0486272745,T
8807120194,S
0062507249,B
0684801221,O
1576737357,D
0060083298,T
0446672211,W
0140293248,T
0807070718,R
0743213831,A
0345305477,E
0061080519,T
0142000205,I
0316735027,T
193156146X,T
015600710X,S
0062517856,T
0679767789,L
0449911683,M
0425169626,W
0449207757,D
0449245691,T
0140029400,T
0140021566,T
2253004022,R
2253005274,L
225300670X,A
2266084372,P
2070362388,R
2266029460,V
2253007102,L
2070417743,C
2266033689,L
2070384349,L
207053880X,L
2070334368,L
2290314951,P
229000510X,U
3492207006,D
3499177757,D
3889774016,F
3502670005,I
0905762487,A
3499222604,D
3746670055,W
0140620427,S
3596144434,D
3442724686,D
0385504209,T
0446525502,T
0385500769,A
0399147012,E
0670892963,B
0688180639,V
0316789089,T
0451197275,S
0425184129,B
0151001006,S
0385505833,S
0679442790,T
0525943862,C
0609605925,A
0060191929,T
0743206045,D
0684864843,T
0684867818,T
0743406176,I
0380978539,D
0679603352,T
0679410430,L
0446523569,M
0671042556,B
0679450440,P
0140107649,B
0609606727,J
0446527793,T
0446531332,N
1570717257,M
0060192631,O
0385420161,L
0345339711,T
052594463X,A
039304016X,T
0399147128,T
0670031046,I
0394574745,A
0316969443,S
0743230051,H
0316693200,_OTHER
0684868911,T
0842336214,T
0399148582,Y
0684864320,L
0525944834,L
0345428900,O
0451176812,V
0671525794,T
0718144538,S
0446602086,T
0394551427,S
0064407667,T
0007100221,T
2253148539,L
2253043974,C
2020315491,L
0747549923,L
0743462335,M
0140253580,T
0947782141,S
057120354X,A
0349101779,T
0743222229,G
185479549X,T
0140292918,O
1854795554,T
1858813093,N
2871290911,X
0198604025,H
1842151053,C
2253063339,L
1860198597,H
0767908473,T
1842040154,C
0140622063,S
0571209521,T
2264009306,C
1841952931,G
0890877564,T
1405200677,T
0416196772,E
0747538069,T
0375501347,A
0060927240,R
0316776963,M
156341029X,S
0060934719,S
1886383421,F
1888451084,K
0451450256,G
1555835953,W
0395877563,S
0962893862,R
1555834531,H
0393318435,L
0889740828,L
1563410443,S
1563899388,D
1563411148,T
0553579681,N
0553579673,H
0451181379,T
0786889160,N
0345370740,T
0553574175,S
0553574167,T
0553574159,T
0312287240,A
0679801146,A
0446300101,T
0821750410,W
0425142485,T
0451456548,C
0060006048,C
0312906552,T
0440117291,D
0425049981,T
0374386676,T
0786886463,A
0345395379,S
0380788497,C
0307215342,T
0374343381,L
0345403339,S
0440226694,L
0440219604,I
0767903285,R
0345429176,U
038529929X,H
1573229571,A
0345418778,M
0517201658,T
0743211383,D
039914370X,S
1884777805,E
0312977905,T
0812521331,P
0451205421,T
0894342789,C
0440218535,S
0449207595,T
8806142267,V
0670844594,R
039457513X,B
0394559487,C
0804001944,T
0590897985,T
0689832877,S
0689829698,C
0439042917,T
0064409457,T
0064405052,T
043922165X,C
0152162445,H
0152162577,D
015216250X,S
1562477528,G
0439221676,A
0439221684,C
0439221714,T
0439221706,A
0439221730,T
0440415993,T
0895872102,T
068983585X,T
0345391802,T
0440219078,T
185424597X,T
2080105434,T
349913358X,D
3257201761,D
3404121686,N
3404118960,D
0345356578,A
0345346971,M
0753804700,R
0451155750,T
0786890436,T
0415928087,A
0521427150,B
0812923278,T
0884111342,L
0345428544,D
0671694049,L
080901582X,T
0449006557,H
0373250339,A
0380820447,F
0385497679,H
0451454243,T
0941423042,A
0373871562,T
0553101439,W
0898151910,H
0835949362,N
0880701102,C
039914563X,T
0312853238,E
0688048730,T
0425161722,N
0385493800,T
0849916399,T
1928791107,T
067175145X,T
0440211727,A
0877192820,T
0380002450,A
0793133955,W
0394178017,P
0425134350,P
0385479689,D
0380754851,M
0380538504,A
044661162X,C
0671742566,T
0515122408,T
0440222818,G
0451204050,O
038533334X,C
0449131548,A
0440120470,T
0451188209,A
0440130913,G
0449001954,M
0345404777,N
0451185277,T
0440224829,G
0671779338,B
0515134368,T
0380759497,X
3442098424,D
0394578791,A
1558505377,J
0373245696,P
0743201078,T
068983571X,H
0553256785,S
0892967994,T
0061064505,B
1551668785,F
0836230868,C
0381999866,M
0380817144,L
0380752115,W
0553212583,W
0446364762,T
0425166619,T
061312975X,T
0765341972,T
0590514776,M
0373037430,R
0064472779,A
0553581279,T
0373750013,T
0393030342,A
0553561618,D
0312422156,M
0425139069,S
0450029956,O
0130139165,I
0373196741,T
0451524489,T
0140065172,O
044022165X,T
0373123485,O
0373123108,S
0590225170,T
0399143165,T
044132231X,H
0425124347,T
0786889705,T
0312282990,T
0425137945,G
042512892X,I
0425113892,S
0394820371,T
0449134482,D
014036336X,T
0375821813,H
0812516826,C
0345348036,T
0679420118,A
0871137380,B
0741409690,T
0741407213,H
0759612277,A
0741402858,T
1585007366,S
074141127X,T
0741403471,O
0741403781,S
0741403056,F
0741405784,A
0741402912,F
0553568760,N
034538184X,D
0140620125,W
0140620109,E
0375420827,T
0671745530,S
0805062971,F
0553211412,W
0671510053,S
1573229385,T
0945397410,O
0385334036,T
0060914653,T
0345347536,A
055321313X,A
3473540420,D
0375507256,C
0060529709,E
0876850867,P
0140274154,O
0679743464,H
0375704027,N
0874067391,A
0590484753,T
0451527038,T
1590520777,A
0590484672,C
0975311255,A
0743237188,F
0553586122,R
0553584510,T
0345341201,S
1551662744,W
0440175623,R
0440216842,T
0345443284,W
0553285653,G
0394800133,O
0060972777,T
0064401472,Z
0156001942,W
055326382X,T
0345418018,T
0684801469,F
0393961192,T
9997522052,C
0872203492,P
0312420145,T
0911104542,C
0375401318,B
0140253602,F
0671789422,P
1566193966,H
014016930X,A
0140077022,W
0679732764,I
0553273604,O
0553273914,T
0060256672,W
039592720X,I
1859671500,G
0810935627,L
0060928336,D
0671003755,S
0553268449,J
0684844729,S
0395051649,C
0375705228,I
038001503X,O
0835607860,T
158574218X,C
0806996021,N
0440215625,D
0316777730,N
0375501851,W
0877733759,W
0805019367,K
0140070206,I
0140236589,S
0140042393,T
1590520653,T
1590521994,T
3446202218,K
3499134446,T
067142517X,H
0671726889,C
0446601241,K
0451124340,D
0345384466,T
0446604801,J
0345422392,V
0679734775,T
0440414717,M
0689715625,B
0812539389,R
0152013369,T
0425124819,B
0345409469,T
1558747346,T
0373250177,O
0763615382,C
0965975401,C
0141001771,W
068930935X,A
0451523369,F
0786884622,W
0449005569,L
0671027344,T
8885989632,P
0786927089,D
0684831058,D
006019491X,D
0684819066,A
0375420673,T
0140368558,K
0395353416,S
0066211611,P
0312254164,T
3453147243,D
3746611229,D
3492229336,D
3453177800,E
3423009152,D
3596133319,H
3822813397,S
3426871874,E
3453171977,D
3423620005,S
034537522X,T
0345375211,T
034545829X,W
0140042520,D
0380789035,A
0446677574,J
0345358791,_OTHER
0060964049,T
0380558483,P
1558171398,D
0425121046,D
0441317502,H
0804102279,T
0812551389,T
0345298985,O
0345316991,W
034531042X,W
0345310306,T
0345310292,I
034531011X,L
0679734058,K
0451130448,E
0553266500,T
0440206154,R
0345370775,J
0441366945,I
0553574833,S
0915950839,H
0060242388,S
0452265347,T
0743457943,T
0373484224,S
0553205757,H
0060171510,A
0312421001,I
0786000988,H
0380789019,N
0451135989,F
0380018179,T
0679004785,F
0684825821,O
0517395754,F
067101420X,F
0679457313,T
0394557433,G
0553571656,T
0312169787,T
0942257324,T
0805008950,T
0786866276,M
0151000638,B
0140266771,L
015644450X,I
0679723420,P
0441004016,T
0671500546,T
0140620338,P
0460878263,S
3257061269,D
3453210999,D
3404126661,S
3453177622,Z
3453863593,S
3499108518,D
3518367064,D
3453199766,V
3746670144,I
3453088433,D
0425137015,T
0553572490,V
0553576976,W
0451450604,T
0441001335,T
0451454677,C
0373257074,B
0441435351,K
0373092237,B
0373057296,M
0373058446,H
0349103232,T
0571197779,L
0679745653,B
0571200389,G
0785268480,R
014044503X,T
0851707777,M
0006276199,A
0551031123,W
0551030682,S
0551032510,C
000649840X,A
0140431268,F
0099771519,M
0486265862,W
067102535X,L
0876855575,H
0330376136,O
0140272658,A
3407780028,O
3407780117,K
3257250398,K
3257250053,D
3257250460,S
3442435951,I
3442435838,D
3608919724,D
3453132262,D
379411664X,W
340780573X,P
3407805853,D
0385720920,C
0385498721,S
0972948503,G
0380813815,L
2070372294,L
2264030542,R
0030615321,A
0836217632,T
0140099832,L
0385314744,R
0316107417,H
0894803700,_OTHER
0449221164,I
0553801031,T
0590457225,D
0316929190,A
0553052845,R
0140390693,L
0439404371,T
0939766027,F
0679741011,S
0345307674,R
0425071421,S
0345297687,S
0766607119,L
1573225789,T
0380754843,W
0345368940,T
0345331605,D
0425050807,B
044100962X,M
0553296981,A
1895383129,K
0375724575,T
067163884X,T
0553140434,M
0029087104,H
0425050750,W
0345285549,E
0345290240,S
0345301870,O
0451169530,T
067168390X,L
0385335881,S
0385335482,C
0553258001,T
0671679627,P
0375704043,U
0373871279,F
0373484070,S
0805063889,N
068986020X,G
0671568809,S
1573228567,M
0553582658,S
051513399X,S
0373218400,T
0449217868,W
0671573020,D
0517006456,E
0786867086,I
1569471800,T
0374216495,T
0312274572,N
0316825336,E
0871137631,H
0679419152,N
0060192895,H
0826308791,T
0140259198,T
0345435249,D
0441003257,G
8850200005,I
0451202503,T
0446606812,M
0671028375,F
0451181468,P
0399149759,F
0345384733,R
0671759361,P
0830724982,K
0399146008,S
3442720001,D
0515132632,I
044990671X,B
0688124402,D
0929587081,M
155970117X,M
0688105408,S
0871130297,T
0440500095,U
1570362084,T
0060930535,T
0375702709,A
044990928X,O
0671038184,J
0060916508,T
0756401453,W
0963270702,T
0399242562,S
0552996009,N
0708881297,D
0142000663,T
0590542443,T
0590112899,T
0590660543,N
0345361792,A
0552999512,A
041619513X,W
0855030224,A
0861638522,P
0575073314,S
0575073004,N
0394404289,T
000636988X,H
1578562333,N
0345458915,T
038531258X,C
006092988X,A
0140317937,T
0743225406,T
0553256696,H
0785263780,O
0802433243,O
0375413081,T
1400034779,T
038533303X,D
0451163753,F
0440414520,T
0786885688,S
0671880187,K
1558506454,M
0895773538,H
0385247745,T
0385293542,C
0802069347,G
0671721038,T
0671311891,M
0345387007,T
037570504X,B
0767902521,A
0892967048,T
0553377868,T
0472113658,W
0609608444,T
0670032425,T
0915811332,S
1558744606,C
080410753X,T
0451526503,A
0345325818,T
044023767X,T
014131088X,S
043909013X,K
0140244824,S
155643068X,E
096478260X,M
155643152X,T
0553346768,S
0884043142,L
0743221990,T
0312983212,S
0553486411,C
3478088534,J
3821807059,H
0865532168,A
059040640X,F
1566197155,L
0805210318,L
031227999X,E
0385508417,S
0385510438,T
0848705459,C
0380723638,I
0718001044,N
0307132668,B
0812515722,A
0373169876,M
0890842795,E
0385324057,S
9505470010,F
0609602535,T
0425185710,V
0061030651,U
0425178773,D
0553575619,R
0671578391,T
0425095584,C
0451409086,T
031298250X,A
006109594X,N
0671527215,H
0486203077,T
2894850743,U
0671522817,B
0618074716,T
1400062888,O
0618045996,R
0312303033,P
1931520038,T
0671318314,C
0553377876,H
1558612815,A
014025448X,A
0060934417,B
0671793489,A
0174434642,O
0679772677,A
0312983824,F
0449149676,O
0449006344,A
0553568183,B
0451191153,T
0440224624,T
0451523067,E
0743418174,G
0451526295,M
0440214424,O
0451187903,S
0385491050,S
0671036505,T
0553213504,T
0446605891,W
0394758285,T
0671004565,W
0345370805,H
0375703055,E
0156006529,W
0446673544,S
0140256369,O
0312243022,T
0316789844,R
0679761837,A
0385490445,A
0380725398,J
0345316770,A
0375700757,C
0070212570,F
0385480016,B
0061098361,C
0061093092,L
0821758950,C
0679729917,T
0451411013,T
0446611239,T
0553580078,T
0425189414,M
0812909372,O
0451410912,A
8481301132,E
0316781266,T
0486280616,A
0743405978,B
0671032658,T
0446607835,S
0451402103,B
0373250223,N
0380817683,R
0671701053,T
0671000381,C
006101253X,S
0671689231,L
0380814021,T
0373711026,N
0373710992,T
0373711107,T
0440217806,S
0373711123,A
0373711115,S
0373711131,L
0061098795,T
0791423549,N
0375725784,A
0465016146,T
0465016103,T
0373226519,I
0380012774,T
225313922X,L
0142004030,L
0452281784,B
0375704558,C
038533656X,A
0743230213,H
0345436911,T
0452284481,L
0802135196,V
0440217520,T
0373834985,C
0679450548,I
0451135555,S
0345339703,T
038039586X,W
0670030643,T
0060929596,A
3499232871,H
0374516901,B
0440131480,B
0609600745,T
0375707425,E
3453151933,T
0231105592,T
0590317822,J
014056232X,W
0590447319,I
0440940001,I
0440401119,H
0440203155,R
0812565959,S
034536628X,M
0880387483,T
0880387300,S
0425163385,T
0743444051,C
0061056103,B
0671042262,T
0425157539,S
0553585681,A
0553585118,O
0886777690,A
0743212002,D
3426650754,D
1854877178,C
0380803526,T
0373152655,C
0451404033,F
1583140352,R
1854879073,T
0821728326,T
037348397X,T
0380773155,I
3404100263,D
0679731148,A
2070417700,D
2070360075,L
0786889373,T
2207245810,R
2207250474,S
2290331406,D
2070426815,L
2290305251,A
2070364283,L
2266128566,L
2070363104,H
2253152277,V
2207252000,L
2253170453,R
2723409821,B
2070415686,L
2258036992,L
2207251756,N
2266000489,L
2070360423,L
0394822862,B
0874493803,A
1569870942,E
1579730272,T
0307177092,P
2253004898,G
0812094271,M
0380600129,T
0451522389,T
0425169324,S
082176828X,W
0316693324,W
0553283685,H
1841215457,D
0064410358,N
0007108648,W
0064472930,C
0590629824,T
0743412273,P
8420725927,L
0140089586,T
0316140651,J
1559277785,F
0345367898,W
0205280854,I
0553110721,H
1558534245,S
0553580272,H
1560980087,B
0679412271,W
0803281730,T
0345396529,F
0440455332,M
1860462995,T
0679452281,A
0811807150,S
0393029190,A
0385425686,F
0312169655,P
0785324712,A
0449912558,T
0934257345,G
0312205872,S
0670867144,T
0805051732,T
0449300021,L
0684835983,B
0440226430,S
0385721358,L
031231616X,I
0764504509,P
089480829X,W
0767912233,B
0971453217,O
0971453209,O
0785268030,S
0743201736,T
0894805770,W
0440177499,S
0553232053,T
0312269102,T
0062502174,T
0688177751,M
0345438329,B
0345401123,Y
1593160151,U
1593160127,N
0451209435,F
1551669501,D
0375707972,T
0618126988,T
0060094850,T
0060192305,T
0142000361,T
0872860175,H
031219126X,F
0020518609,S
0345446860,B
0446310492,T
037348285X,B
0515090506,T
0399145087,B
0812590244,I
0963641328,T
1574551108,C
0879739304,F
0965712516,T
0670829943,T
0060192119,A
0836218256,S
0898707129,T
0805420460,M
0140140352,H
1575666529,W
0312990456,O
0440221102,T
0316969680,T
8807015293,B
881787017X,S
0449207463,S
0689109865,T
3518368540,H
0312423209,M
0141180633,V
0140283382,G
0786248688,T
0773762078,M
0884041093,S
0884040801,S
0786887842,R
0450542912,R
0192817264,K
0751522732,S
0091850401,S
1853260312,_OTHER
0140016821,C
0440418569,T
0786014210,D
0441005667,F
0553259830,B
0312965338,T
1888740051,C
0061008028,F
1931646384,N
0399501487,L
157566559X,T
3423125551,S
0060514949,D
0425188361,C
0066210151,T
0395177111,T
0375411992,B
0060287802,J
3442730066,V
0394718968,P
0192820753,T
0671744003,A
3596129389,D
0915308789,T
3423620196,T
0743203313,T
0425177173,A
0425172554,P
0440224764,T
0553572997,T
034543076X,M
0380727501,N
0312423799,D
0743249887,W
0316089745,T
037542217X,T
0345440773,T
0440208912,H
0061093106,R
0373218192,E
0515120006,H
0515127396,T
0345433084,T
0345416260,P
0385494785,I
0385486804,I
0385512104,T
1555973981,B
0451180208,M
089587198X,G
0198811020,M
0525237704,W
039914255X,E
0340649763,D
0440236673,T
0553295071,S
0316291161,T
0449208397,I
1590171012,T
0060505273,T
0752999958,J
0702229962,S
0679771476,T
0684848597,P
031215125X,T
0064405176,W
0684821192,R
0061056871,I
0590988301,P
0883659654,T
0440235162,T
076790382X,I
0330357808,M
0425158616,C
0676974562,A
0307001385,W
0595157939,T
0702231088,S
0140143599,C
0062502182,T
0060175400,T
1573221775,M
0913367044,T
1888698357,T
0913367176,S
0933121245,B
0312168144,T
0451528182,S
0671537458,W
0786014741,B
0517573822,J
0877732906,A
0743437810,T
0385240406,T
0060116188,M
0394742591,T
0517149257,T
0374517886,T
0850315336,N
0312964854,H
0743222008,T
0684863324,G
0618127453,S
0884053660,T
0812590236,I
0515127221,S
0425161242,C
0451200993,S
0679765123,I
0312982194,G
0451195922,S
0425169863,P
0345380371,R
0446609323,B
0316690619,C
0446610038,_OTHER
155143234X,F
0891074759,A
0449222276,B
0440224608,S
0451201558,C
0061032077,T
2253004243,U
0679459626,F
0812566629,D
0816614024,A
3518390473,D
340414578X,I
3596113350,D
3453189442,D
3462031252,Q
0671001701,L
0782125557,M
1555217532,T
0843943769,A
0553583085,K
1892051001,G
0805019375,L
1587991039,T
1587214768,T
0802130496,D
1857931467,D
0380717085,F
0380712172,F
0380706725,F
0767904281,T
1558747478,C
0440512158,C
0130179620,B
0273649949,S
0072453907,L
0130305065,M
0130219193,S
0028626958,T
1884822738,B
0140272941,C
0375700382,T
0006550789,_OTHER
0140004424,B
0812517032,I
0385492081,I
0451524829,T
0877287384,T
0465090974,T
1931412677,F
0670848549,S
0684829746,C
0425130215,H
8420444782,U
8489618844,S
0061000175,S
0312971362,S
0061097659,S
006017935X,H
067976402X,S
1558532161,L
3125918103,L
0064408329,T
0743457358,E
0743456866,H
0440235464,L
0312251890,D
0440227739,P
0345425707,A
0765342294,E
0451821971,L
0670894494,T
0060394447,T
0385508980,T
037541181X,A
006093395X,A
0385491328,T
0345434692,T
0553131893,D
0374177023,I
076790351X,B
0452280907,F
0425167313,H
0316314641,R
034540288X,T
0061073091,R
0786808772,S
0553234609,D
0553258540,D
0802713661,B
0440237688,T
0679884394,D
1582970262,T
1566091446,P
0553577395,S
0671698419,B
0425167720,A
006105660X,W
0609610597,T
0446519960,A
0374281602,R
0140251839,F
0399519831,I
0425159795,C
0140255370,A
0394543971,T
0060970790,T
0156787334,A
0448095300,T
1569314195,P
0060908548,I
0028606353,F
0316182540,W
0553343874,E
0881845906,T
0446355224,M
0061030953,W
0316919896,A
0553299506,P
0446611611,C
0446604658,L
0553282476,C
0449212602,T
0684867621,T
0451147375,B
0345413903,T
0451178033,W
0590634275,C
